Time,Open,High,Low,Close,Volume,
2018-11-12 12:00:00, 6350, 6360.66, 6350, 6360.65, 53.68540471,
2018-11-12 13:00:00, 6360.65, 6365.86, 6360.65, 6365.4, 112.3870424,
2018-11-12 14:00:00, 6365.4, 6373.8, 6364.48, 6369.03, 178.27894696,
2018-11-12 15:00:00, 6369.02, 6369.03, 6347.64, 6352.43, 242.04995611,
2018-11-12 16:00:00, 6352.43, 6352.43, 6339.49, 6339.5, 137.87639889,
2018-11-12 17:00:00, 6339.5, 6339.5, 6333.05, 6333.3, 176.06832597,
2018-11-12 18:00:00, 6333.3, 6333.3, 6320, 6320.16, 296.49830354,
2018-11-12 19:00:00, 6320.16, 6335, 6316.19, 6334.99, 412.09993015,
2018-11-12 20:00:00, 6334.99, 6334.99, 6330, 6332, 187.49024698,
2018-11-12 21:00:00, 6332, 6332, 6309, 6309.01, 225.6455092,
2018-11-12 22:00:00, 6309.01, 6319.75, 6305.95, 6319.74, 238.15639306,
2018-11-12 23:00:00, 6319.75, 6328.59, 6313.3, 6327.87, 170.75609992,
2018-11-13 00:00:00, 6327.87, 6328.22, 6313.05, 6318.36, 233.28158903,
2018-11-13 01:00:00, 6318.37, 6319.94, 6275.15, 6288.82, 356.7426143,
2018-11-13 02:00:00, 6288.82, 6295.82, 6252.5, 6291, 439.681467,
2018-11-13 03:00:00, 6291.01, 6310.98, 6291, 6295.91, 113.70157233,
2018-11-13 04:00:00, 6295.91, 6311.4, 6295.9, 6300.01, 126.76359699,
2018-11-13 05:00:00, 6300.01, 6302.97, 6295.9, 6302.97, 116.35157104,
2018-11-13 06:00:00, 6302.97, 6311.4, 6300, 6300.01, 137.40678464,
2018-11-13 07:00:00, 6300.01, 6306.78, 6286.66, 6306.78, 141.77340199,
2018-11-13 08:00:00, 6306.78, 6308, 6273.21, 6280.03, 113.91273229,
2018-11-13 09:00:00, 6280.02, 6285, 6276.43, 6285, 28.25738197,
2018-11-13 10:00:00, 6285, 6285.02, 6281.92, 6285.02, 52.83120407,
2018-11-13 11:00:00, 6285.01, 6299.02, 6280.99, 6285.68, 100.38465474,
2018-11-13 12:00:00, 6285.44, 6297.34, 6285.19, 6291.88, 79.17165086,
2018-11-13 13:00:00, 6290.56, 6304.48, 6282.99, 6290.39, 134.59832226,
2018-11-13 14:00:00, 6290.4, 6294.17, 6276.35, 6282.32, 179.61633582,
2018-11-13 15:00:00, 6282.31, 6293.81, 6280.59, 6287.9, 161.66359591,
2018-11-13 16:00:00, 6287.9, 6306.09, 6283.01, 6305.38, 232.06069377,
2018-11-13 17:00:00, 6305.39, 6310.01, 6295.79, 6298, 227.25289688,
2018-11-13 18:00:00, 6298, 6304.92, 6261.34, 6263.04, 378.15713199,
2018-11-13 19:00:00, 6263.04, 6279.99, 6259.17, 6272.45, 398.04937638,
2018-11-13 20:00:00, 6272.44, 6293.94, 6272.44, 6292.19, 239.019458,
2018-11-13 21:00:00, 6292.19, 6292.19, 6278.63, 6279.76, 168.06410985,
2018-11-13 22:00:00, 6279.75, 6280.12, 6271.87, 6271.87, 165.05847791,
2018-11-13 23:00:00, 6271.86, 6273.15, 6254, 6259.34, 363.1140443,
2018-11-14 00:00:00, 6259.35, 6260.39, 6237.1, 6256.5, 328.81027829,
2018-11-14 01:00:00, 6256.51, 6276.01, 6255, 6276.01, 227.03412757,
2018-11-14 02:00:00, 6276, 6276.01, 6265, 6265, 176.29808811,
2018-11-14 03:00:00, 6265, 6269.46, 6259.01, 6259.02, 198.38417603,
2018-11-14 04:00:00, 6259.02, 6269.99, 6259.02, 6268.45, 170.296969,
2018-11-14 05:00:00, 6268.26, 6293, 6265.75, 6291.52, 179.59489305,
2018-11-14 06:00:00, 6291.51, 6293.38, 6289.12, 6289.13, 80.02474296,
2018-11-14 07:00:00, 6289.12, 6289.13, 6277.21, 6278.64, 118.4395702,
2018-11-14 08:00:00, 6278.63, 6289.64, 6274.68, 6274.69, 96.30278278,
2018-11-14 09:00:00, 6275.11, 6275.16, 6228.86, 6237.35, 225.89465867,
2018-11-14 10:00:00, 6237.35, 6246.65, 6160.99, 6190.01, 789.33828135,
2018-11-14 11:00:00, 6190.01, 6208.34, 6176.01, 6206.01, 302.91351819,
2018-11-14 12:00:00, 6206, 6222.18, 6200, 6202.41, 255.74946346,
2018-11-14 13:00:00, 6202.41, 6207.11, 6188.8, 6204.11, 277.01146412,
2018-11-14 14:00:00, 6204.1, 6205.01, 6143.71, 6165.94, 503.11291881,
2018-11-14 15:00:00, 6165.94, 6172, 6037.54, 6065.47, 1226.63096136,
