Unix,Date,Symbol,Open,High,Low,Close,Volume ALGO,Volume USDT,tradecount
1611964800000,2021-01-30,ALGOUSDT,0.6368,0.7036,0.6135,0.6653,64045619.18,42085058.07826,154269
1611878400000,2021-01-29,ALGOUSDT,0.5585,0.6851,0.5461,0.6362,67696029.4,40631952.701338,141933
1611792000000,2021-01-28,ALGOUSDT,0.5414,0.5802,0.5257,0.5586,39738370.3,22291081.032536,79862
1611705600000,2021-01-27,ALGOUSDT,0.6009,0.6017,0.525,0.541,36970785.17,20608282.009115,85983
1611619200000,2021-01-26,ALGOUSDT,0.5559,0.62,0.535,0.601,36806446.38,21059701.390726,86099
1611532800000,2021-01-25,ALGOUSDT,0.5621,0.6446,0.55,0.556,56997115.25,34187694.97307,111729
1611446400000,2021-01-24,ALGOUSDT,0.5562,0.5838,0.5473,0.5623,35657336.87,20151766.425855,81772
1611360000000,2021-01-23,ALGOUSDT,0.5084,0.5711,0.5016,0.5561,40745060.54,22031755.570805,84729
1611273600000,2021-01-22,ALGOUSDT,0.4616,0.5387,0.4288,0.5088,37462256.44,18375920.768433,72938
1611187200000,2021-01-21,ALGOUSDT,0.5477,0.5499,0.4473,0.461,41102792.25,20318856.363705,81032
1611100800000,2021-01-20,ALGOUSDT,0.5213,0.5499,0.4836,0.5472,39674017.3,20617927.292307,83597
1611014400000,2021-01-19,ALGOUSDT,0.5668,0.5741,0.515,0.5213,35071539.01,19225228.48491,79855
1610928000000,2021-01-18,ALGOUSDT,0.5869,0.608,0.5406,0.5668,48169545.05,27382413.687806,95833
1610841600000,2021-01-17,ALGOUSDT,0.5185,0.5888,0.4819,0.5859,61471228.87,32722074.954017,109089
1610755200000,2021-01-16,ALGOUSDT,0.4869,0.55,0.4838,0.5183,67642819.03,35085719.798575,117746
1610668800000,2021-01-15,ALGOUSDT,0.4564,0.4989,0.4241,0.4864,62773154.7,29487573.784371,113689
1610582400000,2021-01-14,ALGOUSDT,0.4502,0.4672,0.4295,0.4559,28669032.2,12780619.777951,48743
1610496000000,2021-01-13,ALGOUSDT,0.3989,0.4526,0.3804,0.4501,33756154.17,14236027.238381,57382
1610409600000,2021-01-12,ALGOUSDT,0.4174,0.4301,0.39,0.3991,39345146.69,16118121.779751,59549
1610323200000,2021-01-11,ALGOUSDT,0.4578,0.4602,0.3715,0.4171,57861491.42,23622651.497157,92860
1610236800000,2021-01-10,ALGOUSDT,0.4848,0.5145,0.415,0.4578,62177806.27,29267236.257736,106449
1610150400000,2021-01-09,ALGOUSDT,0.4554,0.4944,0.4355,0.4847,47068340.75,22256507.216968,83828
1610064000000,2021-01-08,ALGOUSDT,0.4611,0.4881,0.4099,0.455,54840029.55,24809496.038712,100594
1609977600000,2021-01-07,ALGOUSDT,0.5117,0.5209,0.43,0.4611,67780542.37,33041840.629129,117163
1609891200000,2021-01-06,ALGOUSDT,0.4793,0.5301,0.4572,0.5111,81831008.76,40443660.762532,144251
1609804800000,2021-01-05,ALGOUSDT,0.4465,0.496,0.4021,0.4794,97442555.3,44575121.330793,155723
1609718400000,2021-01-04,ALGOUSDT,0.4255,0.4615,0.3673,0.4463,69298274.5,28848996.933687,111927
1609632000000,2021-01-03,ALGOUSDT,0.4075,0.4381,0.3981,0.4253,66908535.56,27901119.939243,102419
1609545600000,2021-01-02,ALGOUSDT,0.3981,0.4633,0.3796,0.4075,121915106.19,51396244.844119,170363
1609459200000,2021-01-01,ALGOUSDT,0.3358,0.4321,0.331,0.3978,103497436.76,40520771.135247,139906
1609372800000,2020-12-31,ALGOUSDT,0.3355,0.3368,0.3157,0.3353,19110867.91,6273327.581451,28838
1609286400000,2020-12-30,ALGOUSDT,0.3466,0.3593,0.3273,0.3355,24696412.94,8418012.174618,33969
1609200000000,2020-12-29,ALGOUSDT,0.3578,0.362,0.32,0.3461,39473180.45,13487789.268216,64452
1609113600000,2020-12-28,ALGOUSDT,0.3188,0.3578,0.3152,0.3578,25691092.97,8722270.152649,42552
1609027200000,2020-12-27,ALGOUSDT,0.3093,0.338,0.3006,0.319,36756153.0,11777672.450122,49832
1608940800000,2020-12-26,ALGOUSDT,0.3085,0.3218,0.2997,0.3094,18479145.92,5734430.778977,27441
1608854400000,2020-12-25,ALGOUSDT,0.3144,0.3289,0.302,0.3088,22001152.18,6921704.134653,30986
1608768000000,2020-12-24,ALGOUSDT,0.2891,0.3149,0.2807,0.3142,21726309.06,6475321.098591,32097
1608681600000,2020-12-23,ALGOUSDT,0.3365,0.3517,0.265,0.2891,39154122.15,12694990.883091,60173
1608595200000,2020-12-22,ALGOUSDT,0.3246,0.3483,0.3168,0.3367,25756719.92,8612594.726068,41771
1608508800000,2020-12-21,ALGOUSDT,0.3396,0.367,0.3118,0.3248,33668025.32,11421526.306603,46882
1608422400000,2020-12-20,ALGOUSDT,0.3556,0.358,0.328,0.3397,29092443.86,10066227.43582,43176
1608336000000,2020-12-19,ALGOUSDT,0.353,0.3848,0.3501,0.3556,39585893.57,14596386.863197,55747
1608249600000,2020-12-18,ALGOUSDT,0.3325,0.3657,0.3164,0.353,42997382.54,14756070.485866,57303
1608163200000,2020-12-17,ALGOUSDT,0.3398,0.3589,0.3236,0.3324,42896129.9,14556068.761678,55780
1608076800000,2020-12-16,ALGOUSDT,0.3251,0.3448,0.3174,0.3396,30867352.04,10268369.917942,36498
1607990400000,2020-12-15,ALGOUSDT,0.3129,0.34,0.3129,0.325,24621588.75,8075674.649103,30170
1607904000000,2020-12-14,ALGOUSDT,0.3091,0.3188,0.3031,0.3129,14667080.43,4559447.884478,19076
1607817600000,2020-12-13,ALGOUSDT,0.3092,0.32,0.3047,0.3092,16223360.79,5077023.363237,19984
1607731200000,2020-12-12,ALGOUSDT,0.2884,0.3168,0.2883,0.3091,20966121.14,6472834.98888,26212
1607644800000,2020-12-11,ALGOUSDT,0.2938,0.2959,0.2763,0.2887,19092161.43,5428791.180564,19941
1607558400000,2020-12-10,ALGOUSDT,0.3053,0.3078,0.2906,0.2936,13235583.45,3950440.888569,16083
1607472000000,2020-12-09,ALGOUSDT,0.3009,0.31,0.2855,0.3056,28265832.75,8448621.768552,28614
1607385600000,2020-12-08,ALGOUSDT,0.3309,0.3322,0.2913,0.3011,31300423.08,9785831.352692,36563
