Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume USDT,tradecount
1682121600000,2023-04-22,1INCHUSDT,0.492,0.508,0.488,0.507,2093673.7,1040194.0766,4870
1682035200000,2023-04-21,1INCHUSDT,0.511,0.522,0.487,0.492,5896901.2,2985335.3809,14253
1681948800000,2023-04-20,1INCHUSDT,0.51,0.52,0.493,0.511,4843144.2,2455044.2736,13066
1681862400000,2023-04-19,1INCHUSDT,0.569,0.572,0.502,0.511,6914746.8,3646259.7066,20465
1681776000000,2023-04-18,1INCHUSDT,0.557,0.58,0.548,0.57,4225172.0,2396647.7824,12539
1681689600000,2023-04-17,1INCHUSDT,0.574,0.583,0.548,0.557,5562355.9,3125836.872,15076
1681603200000,2023-04-16,1INCHUSDT,0.566,0.58,0.557,0.575,3483902.0,1987451.3679,12473
1681516800000,2023-04-15,1INCHUSDT,0.565,0.571,0.552,0.566,3393557.1,1908412.3424,10233
1681430400000,2023-04-14,1INCHUSDT,0.55,0.568,0.545,0.565,5815336.8,3250344.951,16918
1681344000000,2023-04-13,1INCHUSDT,0.537,0.55,0.531,0.55,4405550.4,2386920.1939,10876
1681257600000,2023-04-12,1INCHUSDT,0.544,0.546,0.522,0.536,4797377.1,2547527.4744,12363
1681171200000,2023-04-11,1INCHUSDT,0.548,0.55,0.539,0.544,4278390.8,2325863.956,11726
1681084800000,2023-04-10,1INCHUSDT,0.534,0.548,0.519,0.547,6008643.9,3206089.611,12835
1680998400000,2023-04-09,1INCHUSDT,0.529,0.538,0.517,0.533,2654349.6,1400736.6134,6581
1680912000000,2023-04-08,1INCHUSDT,0.528,0.536,0.52,0.53,3038540.1,1616516.0371,6073
1680825600000,2023-04-07,1INCHUSDT,0.538,0.538,0.519,0.527,2541966.2,1338615.5285,6621
1680739200000,2023-04-06,1INCHUSDT,0.538,0.539,0.523,0.538,4189547.6,2226207.7833,10089
1680652800000,2023-04-05,1INCHUSDT,0.54,0.559,0.523,0.538,10601631.2,5725562.7251,25245
1680566400000,2023-04-04,1INCHUSDT,0.515,0.544,0.508,0.541,8372209.1,4414740.4658,17649
1680480000000,2023-04-03,1INCHUSDT,0.521,0.525,0.495,0.516,8040277.5,4123845.8885,18980
1680393600000,2023-04-02,1INCHUSDT,0.54,0.541,0.511,0.52,5494768.0,2879798.2187,13249
1680307200000,2023-04-01,1INCHUSDT,0.562,0.562,0.533,0.54,10388960.6,5686705.3333,18699
1680220800000,2023-03-31,1INCHUSDT,0.566,0.568,0.536,0.561,16871582.8,9312578.437,29738
1680134400000,2023-03-30,1INCHUSDT,0.519,0.607,0.515,0.568,45396265.4,25739857.3599,93379
1680048000000,2023-03-29,1INCHUSDT,0.497,0.519,0.496,0.519,5991047.4,3063357.4213,14425
1679961600000,2023-03-28,1INCHUSDT,0.489,0.505,0.484,0.496,4815248.6,2383411.1798,10809
1679875200000,2023-03-27,1INCHUSDT,0.514,0.517,0.482,0.488,6040640.5,2991604.9718,12957
1679788800000,2023-03-26,1INCHUSDT,0.5,0.516,0.495,0.513,3143811.3,1599934.0351,8696
