Unix,Date,Symbol,Open,High,Low,Close,Volume FTM,Volume USDT,tradecount
1634083200000,2021-10-13,FTMUSDT,2.092,2.1485,1.9632,2.0119,148544912.0,301886369.5198,406770
1633996800000,2021-10-12,FTMUSDT,2.3355,2.3509,2.04,2.0921,195343676.0,419236445.5978,543659
1633910400000,2021-10-11,FTMUSDT,2.0259,2.3671,1.9676,2.3358,238249325.0,519747491.7989,713983
1633824000000,2021-10-10,FTMUSDT,2.1597,2.265,2.012,2.026,181498653.0,390456181.7774,542262
1633737600000,2021-10-09,FTMUSDT,2.2992,2.3328,2.1063,2.1597,224231740.0,492652181.6988,635730
1633651200000,2021-10-08,FTMUSDT,2.0246,2.45,1.9503,2.3,571118905.0,1290116635.698081,1878973
1633564800000,2021-10-07,FTMUSDT,1.6096,2.0939,1.54,2.0235,600296796.1,1102623337.0426729,1674404
1633478400000,2021-10-06,FTMUSDT,1.4144,1.62,1.2876,1.6097,198488506.0,287348851.5166,440242
1633392000000,2021-10-05,FTMUSDT,1.398,1.4536,1.367,1.4141,98024884.0,137786519.6254,192304
1633305600000,2021-10-04,FTMUSDT,1.467,1.4677,1.3436,1.398,151329175.0,213749358.5263,298968
1633219200000,2021-10-03,FTMUSDT,1.4581,1.5469,1.4013,1.4666,152374707.0,225679945.6218,314260
1633132800000,2021-10-02,FTMUSDT,1.4175,1.524,1.362,1.458,154617226.0,221919064.3846,312868
1633046400000,2021-10-01,FTMUSDT,1.2065,1.45,1.1986,1.4174,213874766.0,284001339.766,389362
1632960000000,2021-09-30,FTMUSDT,1.1994,1.2676,1.1857,1.2064,135839671.0,166067649.8532,219499
1632873600000,2021-09-29,FTMUSDT,1.173,1.2893,1.1537,1.2,180889908.0,220760321.7663,279954
1632787200000,2021-09-28,FTMUSDT,1.2804,1.3841,1.1645,1.1742,294055463.0,373501085.1747,492788
1632700800000,2021-09-27,FTMUSDT,1.1789,1.3578,1.1551,1.2803,286508234.0,363625298.0429,516089
1632614400000,2021-09-26,FTMUSDT,1.2423,1.259,1.0903,1.179,220566017.0,262486530.2945,385381
1632528000000,2021-09-25,FTMUSDT,1.1993,1.3773,1.1795,1.2426,291690577.0,378108706.2949,526480
1632441600000,2021-09-24,FTMUSDT,1.2602,1.2707,1.0414,1.199,294266669.0,338631467.3371,493707
1632355200000,2021-09-23,FTMUSDT,1.2485,1.295,1.1641,1.2602,234455757.0,288249833.7586,385976
1632268800000,2021-09-22,FTMUSDT,0.9842,1.265,0.9709,1.2489,306577573.0,346449587.072,477562
1632182400000,2021-09-21,FTMUSDT,1.1488,1.2226,0.9422,0.9829,341314541.0,374373528.6659,509628
1632096000000,2021-09-20,FTMUSDT,1.4576,1.489,1.0503,1.1487,412419883.0,502845078.4714,701713
